subj_idx,CSI,size,probe,rt,correct,stim,response
2,400,6,pos,1.6596,1,2,1
23,No,6,int,1.6598,1,1,0
21,2000,4,int,1.6599,1,1,0
4,No,2,int,1.6599,1,1,0
12,No,4,pos,1.66,0,2,0
20,No,4,pos,1.6601,1,2,1
20,400,8,int,1.6603,1,1,0
9,400,6,int,1.6604,1,1,0
9,2000,6,int,1.6605,0,1,1
1,2000,6,neg,1.6608,1,1,0
6,100,2,pos,1.6636,0,2,0
24,100,6,int,1.6638,1,1,0
17,100,6,int,1.664,1,1,0
19,100,8,pos,1.6644,1,2,1
10,100,4,pos,1.6644,1,2,1
5,2000,2,int,1.6666,1,1,0
9,2000,4,pos,1.6668,1,2,1
11,400,6,int,1.6668,1,1,0
4,No,8,neg,1.6669,0,1,1
20,No,8,pos,1.6669,1,2,1
5,400,4,neg,1.6671,1,1,0
15,No,8,neg,1.6674,1,1,0
24,400,4,pos,1.6674,0,2,0
16,400,4,neg,1.6674,1,1,0
23,2000,6,neg,1.6675,0,1,1
8,2000,8,int,1.6678,0,1,1
19,No,6,pos,1.668,1,2,1
23,2000,2,pos,1.668,0,2,0
2,No,8,pos,1.6681,1,2,1
2,No,8,pos,1.6682,0,2,0
17,2000,6,pos,1.6682,1,2,1
15,400,6,int,1.6683,0,1,1
23,400,6,neg,1.6687,1,1,0
16,100,2,pos,1.6696,1,2,1
